give,age,sex,educ,income,trust
0,56,2,1,30000,2
175,57,1,1,54000,2.15
0,63,1,1,12000,1.85
620,58,2,1,36000,1.81
500,37,1,2,30000,2.31
500,35,2,1,18000,2.69
350,60,2,1,54000,2.92
0,29,2,1,48000,2.32
0,26,2,1,48000,2
0,57,2,1,12000,2.35
1120,75,2,1,24000,2.38
100,29,2,1,48000,2.54
315,34,2,1,36000,2.23
0,48,2,1,36000,1.58
445,26,2,2,30000,2.54
300,28,2,2,36000,2.54
50,28,1,1,36000,1.77
800,32,1,1,42000,2.31
350,68,2,2,48000,2.27
310,35,1,1,36000,1.69
425,36,1,2,48000,2.54
95,27,2,1,42000,2.38
60,48,2,1,30000,1.94
0,32,2,1,30000,2.85
140,29,2,2,24000,2.08
400,30,2,1,54000,2.38
50,28,1,1,24000,2.46
0,41,1,1,42000,2.31
200,67,1,1,18000,2.54
2760,40,2,1,30000,2.62
8149,53,2,2,54000,2.08
415,33,2,2,60000,2.54
2000,65,2,1,24000,2.69
1300,50,1,2,78000,1.85
600,44,2,1,78000,2.08
0,49,2,1,30000,2.31
5300,28,1,2,60000,2.31
25,56,1,1,36000,2.65
190,31,2,2,36000,2.46
13860,40,2,1,60000,2.08
1160,64,1,1,66000,2.15
3575,59,2,2,60000,2.54
370,59,2,1,78000,2.17
950,64,2,1,60000,2.31
0,43,2,2,24000,2.42
0,65,2,1,6000,2.52
0,34,1,1,48000,3.23
10,70,2,1,6000,3.23
55,39,2,1,18000,3.31
50,53,1,1,6000,2.62
5400,51,1,2,78000,2
420,29,1,2,78000,2.77
585,35,2,2,78000,3
1690,32,2,2,66000,2.54
1000,68,1,2,42000,2.31
330,23,1,1,36000,2.38
20,60,2,2,60000,2.08
1500,76,1,2,30000,1.92
2800,62,1,1,48000,2.15
300,22,2,1,24000,2.38
0,59,2,1,18000,2.05
2700,78,1,1,30000,2.23
0,32,1,1,54000,2.77
3065,73,1,1,30000,2.23
295,29,2,1,12000,2
400,55,2,2,30000,2.15
0,22,2,1,6000,3.16
0,83,1,1,18000,2.54
300,37,2,1,60000,1.78
7150,41,1,1,54000,2.62
10,61,2,1,6000,3.35
800,54,2,2,60000,2.24
600,38,2,1,42000,2.85
2100,60,1,1,66000,1.92
200,40,1,1,60000,2.54
2800,34,2,1,60000,3
1350,47,1,2,72000,2.46
10,36,1,1,24000,2.65
950,39,2,2,54000,2.62
600,33,2,1,36000,2.46
190,50,2,1,30000,1.69
0,64,1,1,54000,2.38
0,34,1,1,36000,1.92
0,45,1,1,48000,2.08
960,35,1,1,66000,2.85
30,52,2,1,36000,2
0,64,2,1,18000,2
100,82,2,1,12000,2.23
480,79,1,1,36000,2.31
1150,73,2,2,48000,1.85
500,44,2,1,78000,2.41
580,35,2,1,48000,2.23
0,31,1,2,54000,2.32
550,70,1,1,36000,1.77
1066,39,2,2,72000,2.08
110,38,1,2,54000,2.38
720,42,2,2,72000,2.38
520,72,1,1,30000,1.46
400,63,2,1,48000,2
75,36,1,1,30000,2.23
0,25,2,1,18000,1.86
300,50,2,1,60000,2.15
0,38,1,1,54000,2.85
0,20,2,1,48000,2.92
1900,41,1,2,54000,1.54
30,26,1,1,36000,2.23
0,29,2,1,6000,2.77
220,32,2,1,18000,2.85
0,33,2,1,42000,1.77
0,48,2,2,36000,1.62
2500,21,2,1,6000,3.08
230,76,2,1,12000,3.31
235,26,2,1,54000,2.85
250,43,1,1,30000,1.96
800,45,1,1,60000,2.62
0,31,2,1,60000,2.38
0,65,2,1,12000,1.15
0,36,2,1,36000,2.31
0,71,2,1,48000,3.23
0,43,2,1,54000,3.62
1050,29,2,1,48000,2
500,65,1,1,54000,2
1600,42,1,1,72000,1.46
